x,Firm,City,State,Seed,Early Vent.,Late Vent.,# of Funds,Total Fund Raised ($M),# of Investments,# of Exits,1,#,2,#_2,3,#_3,4,#_4,5,#_5,Website,Crunchbase URL,LinkedIn URL,col_25,State_2,Count,linkedin-private-codex,linkedin-private-claude,linkedin-private-cursor
,Invested Development,Cambridge,MA,1,,,1,$20.0,18,2,Mobile,4,Agriculture,3,Solar,3,Renewable Enargy,3,Social Enterpreneurship,2,investeddevelopment.com,https://www.crunchbase.com/organization/invested-development,linkedin.com/company/466357,x,,,,,"https://www.linkedin.com/in/peterperri, https://www.linkedin.com/in/amanda-holden-820b75123, https://www.linkedin.com/in/nkolo, https://www.linkedin.com/in/alexander-bashian-a3622011"
,Investo.,San Francisco,CA,1,,,,,,,,,,,,,,,,,investovc.com,,linkedin.com/company/1613906,x,,,,,
,"Iowa Startup Accelerator, powered by NewBoCo",Cedar Rapids,IA,1,,,,,18,,Manufacturing,3,E-Commerce,2,Internet,2,Health Care,2,Agriculture,2,iowastartupaccelerator.com,https://www.crunchbase.com/organization/iowa-startup-accelerator,linkedin.com/company/3739720,x,,,,,"https://www.linkedin.com/in/cammie-greif-1773285, https://www.linkedin.com/in/jessicafaber, https://www.linkedin.com/in/dahlbyk, https://www.linkedin.com/in/ceo-isolicia, https://www.linkedin.com/in/andystoll, https://www.linkedin.com/in/cait-brown-920a89355, https://www.linkedin.com/in/jill-wilkins"
,iResearch Capital,Mountain View,CA,1,1,1,,,4,,EdTech,1,Internet,1,Content,1,Robotics,1,Toys,1,capital.iresearch.com.cn,https://www.crunchbase.com/organization/iresearch-capital,,x,,,,,
,IrishAngels,Chicago,IL,1,,,1,$12.5,53,1,Software,9,SaaS,6,E-Commerce,4,Internet,4,Health Care,4,irishangels.com,https://www.crunchbase.com/organization/irishangels,linkedin.com/company/3611468,x,,,,,"https://www.linkedin.com/in/carolinegash, https://www.linkedin.com/in/danielfallon8, https://www.linkedin.com/in/davidjwieland, https://www.linkedin.com/in/galevc, https://www.linkedin.com/in/gerald-jablonski-9b42b88, https://www.linkedin.com/in/johnpsalvino, https://www.linkedin.com/in/kelly-mullaney-dean-64aa282"
,iSeed Ventures,San Francisco,CA,1,1,,3,,29,2,Health Care,15,Fitness,4,Wellness,4,Information Technology,4,,,iseedvc.com,https://www.crunchbase.com/organization/iseed-ventures,,x,,,"https://www.linkedin.com/in/adam-lin-768517/, https://www.linkedin.com/in/bryan-cheng-121b262a2/",,"https://www.linkedin.com/in/adam-lin-768517, https://www.linkedin.com/in/bryan-cheng-121b262a2"
,"Ithaka Partners, LLC",Boca Grande,FL,1,,,,,,,,,,,,,,,,,ithakapartnersllc.com,,linkedin.com/company/10210814,x,,,,,
,ITR Ventures,San Francisco,CA,1,1,,,,,,,,,,,,,,,,itrventures.com,https://www.crunchbase.com/organization/itr-ventures-llc,https://www.linkedin.com/company/itr-ventures/,x,,,,,
,Jane VC,Cleveland,OH,1,,,1,$2.0,,,,,,,,,,,,,janevc.com,https://www.crunchbase.com/organization/jane-vc,linkedin.com/company/18700585,x,,,,,"https://www.linkedin.com/in/jcsalaff, https://www.linkedin.com/in/julie-joa-62632971, https://www.linkedin.com/in/sharon-fay, https://www.linkedin.com/in/ruth-maria-flores-1a9951b6, https://www.linkedin.com/in/jacknewcombe, https://www.linkedin.com/in/vicky-bijur-23b837b"
,Janvest,New York,NY,1,1,,3,$15.0,28,3,Software,4,Enterprise Software,4,Mobile,4,Cyber Security,3,Security,3,janvest.com,https://www.crunchbase.com/organization/janvest-technologies,https://www.linkedin.com/company/janvest-technologies-llc/,x,,,,,"https://www.linkedin.com/in/staci-eichelbaum, https://www.linkedin.com/in/janvest-s-a-403269227, https://www.linkedin.com/in/janvest-sa-3b9631221, https://www.linkedin.com/in/piotr-przepi, https://www.linkedin.com/in/barbara-schmude-1b1386a6, https://www.linkedin.com/in/daria-kardasz-70904719b"
,JFW Ventures,Denver,CO,1,,,,,,,,,,,,,,,,,jfwventures.com,,linkedin.com/company/2492990,x,,,,,"https://www.linkedin.com/in/jerry-wagner-407ba465, https://www.linkedin.com/in/wendy-grundy-38a620b8, https://www.linkedin.com/in/raymundo-colon-441b731b9"
,Just Business,San Francisco,CA,1,,,,,,,,,,,,,,,,,justbusiness.is,https://www.crunchbase.com/organization/just-business,linkedin.com/company/3362048,x,,,,,"https://www.linkedin.com/in/marktranwexler, https://www.linkedin.com/in/tomchristie1, https://www.linkedin.com/in/just-business-899580100, https://www.linkedin.com/in/nikkie-bayley-288925153, https://www.linkedin.com/in/khan-majlish-faruk-2b076951, https://www.linkedin.com/in/bran-don-ba62ab59"
,K5 Ventures,Newport Beach,CA,1,1,,,,44,7,Health Care,7,Enterprise Software,7,E-Commerce,6,Software,6,Mobile,5,k5ventures.com,https://www.crunchbase.com/organization/k5launch,https://www.linkedin.com/company/k5-ventures/,x,,,,,"https://www.linkedin.com/in/raymondtchan, https://www.linkedin.com/in/robinpimentel, https://www.linkedin.com/in/songwang322, https://www.linkedin.com/in/adrianazuabi, https://www.linkedin.com/in/christine-uiux, https://www.linkedin.com/in/hiroyuki-uchiyama-b6b922a2"
,K9 Ventures,Palo Alto,CA,1,1,,3,$88.3,42,10,Mobile,7,Enterprise Software,6,Software,5,Cloud Computing,4,Internet,3,k9ventures.com,https://www.crunchbase.com/organization/k9-ventures,https://www.linkedin.com/company/k9-ventures/,x,,,,,"https://www.linkedin.com/in/sneaker, https://www.linkedin.com/in/k-9-group-92450b366, https://www.linkedin.com/in/diesel-d-pawd-790068273, https://www.linkedin.com/in/ammar-abuammra-a7b386155, https://www.linkedin.com/in/z-pain-7341992a1, https://www.linkedin.com/in/gift-chadambuka-86181817a"
,Kapor Capital,Oakland,CA,1,,,,,183,27,Education,29,Health Care,19,Software,18,Mobile,18,SaaS,16,kaporcapital.com,https://www.crunchbase.com/organization/kapor-capital,linkedin.com/company/3549522,x,,,,,"https://www.linkedin.com/in/mitchkapor, https://www.linkedin.com/in/landry-nicks-4413a61b, https://www.linkedin.com/in/hilliaryturnipseed, https://www.linkedin.com/in/batuljoffrey, https://www.linkedin.com/in/stephendeberry, https://www.linkedin.com/in/brandon-boros-54513011"
,KdT VC,Black Mountain,NC,1,1,,1,,9,,Biotechnology,3,Health Care,2,Machine Learning,2,Software,2,Pharmaceutical,1,kdtvc.com,https://www.crunchbase.com/organization/kdt-ventures,https://www.linkedin.com/company/kdt-ventures/,x,,,"https://www.linkedin.com/in/bwillette, https://www.linkedin.com/in/cainmcclary, https://www.linkedin.com/in/kaitlynjdavis, https://www.linkedin.com/in/ketan-yerneni, https://www.linkedin.com/in/mackjhealy, https://www.linkedin.com/in/phil-grayeski-6b423799, https://www.linkedin.com/in/yuddin",,"https://www.linkedin.com/in/bwillette, https://www.linkedin.com/in/cainmcclary, https://www.linkedin.com/in/kaitlynjdavis, https://www.linkedin.com/in/ketan-yerneni, https://www.linkedin.com/in/mackjhealy, https://www.linkedin.com/in/phil-grayeski-6b423799, https://www.linkedin.com/in/yuddin"
,KEC Ventures,New York,NY,1,1,1,3,$165.0,62,5,Software,8,Mobile,5,E-Commerce,4,Analytics,4,FinTech,4,kecventures.com,https://www.crunchbase.com/organization/kec-ventures,https://www.linkedin.com/company/kec-ventures/,x,,,,,"https://www.linkedin.com/in/mike-difelice-8355a2123, https://www.linkedin.com/in/ramraj-thakur-854442164, https://www.linkedin.com/in/ismail-abdul-gani-a15a2614a, https://www.linkedin.com/in/sbelding001, https://www.linkedin.com/in/dede-sopandi-ab2408175, https://www.linkedin.com/in/rick-gordon-340200"
,Keiretsu Capital,Seattle,WA,1,1,1,4,$16.6,79,2,Health Care,12,Biotechnology,8,Medical,8,Medical Device,6,SaaS,6,keiretsucapital.com,https://www.crunchbase.com/organization/keiretsu-capital,https://www.linkedin.com/company/keiretsu-capital/,x,,,,,"https://www.linkedin.com/in/kevinsterling1, https://www.linkedin.com/in/matthewlemerle, https://www.linkedin.com/in/readytogo-jamesfloyd, https://www.linkedin.com/in/jerry-yang-5a39b417a, https://www.linkedin.com/in/hifcorporation, https://www.linkedin.com/in/vinitakhomne"
,Kentucky Science and Technology Corporation,Lexington,KY,1,,,,,34,7,Health Care,7,Software,6,Biotechnology,5,Mobile,4,Therapeutics,3,kstc.com,https://www.crunchbase.com/organization/kentucky-science-and-technology-corporation-kstc,linkedin.com/company/116684,x,,,,,"https://www.linkedin.com/in/terry-samuel-8b1b234, https://www.linkedin.com/in/rgrother, https://www.linkedin.com/in/anthonymires, https://www.linkedin.com/in/michaelsnorman, https://www.linkedin.com/in/dr-sheri-mcguffin, https://www.linkedin.com/in/lizknapp21"
,Kepha Partners,Waltham,MA,1,1,1,1,$85.0,37,6,Advertising,5,Enterprise Software,5,Analytics,4,Brand Marketing,3,Search Engine,2,kephapartners.com,https://www.crunchbase.com/organization/kepha-partners,,x,,,,,"https://www.linkedin.com/in/edward-hamilton-5a705ba4, https://www.linkedin.com/in/lyn-elfman-310b4829, https://www.linkedin.com/in/lyn-elfman-80ab7027, https://www.linkedin.com/in/edward-hamilton-75621678, https://www.linkedin.com/in/edward-hamilton-4b781120, https://www.linkedin.com/in/tom-barron-72a444a7"
,Kern Venture Group,Bakersfield,CA,1,,,,,,,,,,,,,,,,,kernventuregroup.com,,linkedin.com/company/18632519,x,,,,,"https://www.linkedin.com/in/joshua-gutierrez-400ba2177, https://www.linkedin.com/in/johnpaullake, https://www.linkedin.com/in/david-higdon-b5407428, https://www.linkedin.com/in/daivikbuch, https://www.linkedin.com/in/clarisse-lebeau-b047592b8, https://www.linkedin.com/in/jacob-panero-16a8aa2a2"
,Kickstart Fund,Salt Lake City,UT,1,1,1,3,$139.2,106,7,Software,16,SaaS,14,Health Care,10,Enterprise Software,10,Internet,7,kickstartfund.com,https://www.crunchbase.com/organization/kickstart-seed-fund,https://www.linkedin.com/company/kickstart-seed-fund/,x,,,,,"https://www.linkedin.com/in/kickstart-fund-ab32051bb, https://www.linkedin.com/in/brianna-bowles-04599640, https://www.linkedin.com/in/kristin-gonzales-cpa-132985b7, https://www.linkedin.com/in/brian-askin2, https://www.linkedin.com/in/filip-kolovrat-cpa-571a7665, https://www.linkedin.com/in/price-hollingsworth-843095232"
,Kiwi Venture Partners,New York,NY,1,1,1,2,,9,2,Mobile,6,Education,2,EdTech,2,Information Technology,2,Video Editing,1,kiwiventurepartners.com,https://www.crunchbase.com/organization/kiwi-venture-partners,https://www.linkedin.com/company/kiwiventure/,x,,,,,https://www.linkedin.com/in/greta-bon-69b10161
,Kokopelli Capital,Boulder,CO,1,1,,1,,,,Software,2,Network Security,1,Blockchain,1,Trading Platform,1,Ethereum,1,kokopelli.vc,https://www.crunchbase.com/organization/kokopelli,,x,,,,,"https://www.linkedin.com/in/terryhefty, https://www.linkedin.com/in/annie-foxworth-ei-26449729, https://www.linkedin.com/in/trevor-parnham-258400b"
,Laconia Capital Group,New York,NY,1,,,2,$1.6,12,,Software,3,SaaS,2,Financial Service,2,Enterprise Software,2,Pharmaceutical,1,laconiacapitalgroup.com,https://www.crunchbase.com/organization/laconia-capitalgroup,linkedin.com/company/2150357,x,,,,,"https://www.linkedin.com/in/david-arcara-b8a0801, https://www.linkedin.com/in/keith-ngobeni-a89b4668, https://www.linkedin.com/in/andrew-ehrenberg-297578109, https://www.linkedin.com/in/mariam-younis, https://www.linkedin.com/in/kaushik-immadisetty, https://www.linkedin.com/in/grantlin23"
,"Lakeland Ventures Development, LLC",Grosse Pointe,MI,1,,,,,1,,Insurance,1,Automotive,30,Mobile,1,,,,,lakelandventures.com,https://www.crunchbase.com/organization/lakeland-venture,linkedin.com/company/2663380,x,,,,,"https://www.linkedin.com/in/andrew-white-bb839233, https://www.linkedin.com/in/angela-butera-ladet-74a72255"
,Lamp Post Group,Chattanooga,TN,1,1,,,,11,1,SaaS,3,News,3,E-Commerce,2,Blogging Platf0rm,1,Consumer,1,lamppostgroup.com,https://www.crunchbase.com/organization/lamp-post-group,https://www.linkedin.com/company/lamp-post-group/,x,,,,,"https://www.linkedin.com/in/miller-welborn-24b56712, https://www.linkedin.com/in/billholdenatlamppostgroupllc, https://www.linkedin.com/in/kyle-bryant-cpa-pfs-b8a795a, https://www.linkedin.com/in/rania-zeineldin-a4673795, https://www.linkedin.com/in/kristi-marter-930a3853, https://www.linkedin.com/in/brendan-smith-6a3146133"
,Las Olas Venture Capital,Fort Lauderdale,FL,1,1,,1,$28.5,10,,Software,2,Artificial Intelligence,2,Information Technology,2,Fraud Detection,2,Wearables,2,lasolasvc.com,https://www.crunchbase.com/organization/las-olas-vc-a-k-a-lovc,https://www.linkedin.com/company/las-olas-venture-capital/,x,,,,,"https://www.linkedin.com/in/mvolchek, https://www.linkedin.com/in/nathanielvasel, https://www.linkedin.com/in/deanhatton, https://www.linkedin.com/in/slefkowitz1, https://www.linkedin.com/in/elviaperez"
,Launch Capital,New Haven,CT,1,,,,,225,29,Health Care,36,Mobile,26,Software,25,E-Commerce,21,SaaS,19,launchcapital.com,https://www.crunchbase.com/organization/launchcapital,linkedin.com/company/2254267,x,,,,,"https://www.linkedin.com/in/ca-ninad-n-date-408410108, https://www.linkedin.com/in/sanjay-tari, https://www.linkedin.com/in/ca-milind-garud-501a9212, https://www.linkedin.com/in/ernest-helper-09630a222, https://www.linkedin.com/in/subhash-baliga-99a6a1338, https://www.linkedin.com/in/david-maza-montalvo-cam-3bbb52259"
,Launch House,Highland Heights,OH,1,,,,,40,,Mobile,7,Health Care,6,Software,5,Social Media,4,Internet,3,launchhouse.com,https://www.crunchbase.com/organization/launchhouse,linkedin.com/company/1288647,x,,,,,"https://www.linkedin.com/in/xtinaholder, https://www.linkedin.com/in/elias-eave-a3aa965b, https://www.linkedin.com/in/bomeans, https://www.linkedin.com/in/tha-launch-house-llc-434638155, https://www.linkedin.com/in/tamir-yankevich, https://www.linkedin.com/in/alexis-benagh-b53625206"
,Launchpad Digital Health,San Francisco,CA,1,,,,,27,,Health Care,17,Information Technology,7,Fitness,3,SaaS,3,Medical,3,launchpdh.com,https://www.crunchbase.com/organization/launchpad-digital-health,https://www.linkedin.com/company/launchpad-digital-health-llc/,x,,,,,"https://www.linkedin.com/in/alanlefkof, https://www.linkedin.com/in/susan-launchpdh-761a97a5, https://www.linkedin.com/in/root-palmiste, https://www.linkedin.com/in/shaun-horrigan-b133182, https://www.linkedin.com/in/kerttu-sobak-38789015b, https://www.linkedin.com/in/edwardspaulm"
,Launchpad LA,Los Angeles,CA,1,1,,1,,25,6,E-Commerce,5,Software,4,Internet,3,Analytics,3,Enterprise Software,3,launchpad.la/,https://www.crunchbase.com/organization/launchpadla,https://www.linkedin.com/company/launchpad-la/,x,,,,,"https://www.linkedin.com/in/kathy-bannerman-1395189, https://www.linkedin.com/in/laurencesotsky, https://www.linkedin.com/in/johngluszak, https://www.linkedin.com/in/ianswanson, https://www.linkedin.com/in/maggieshih-us, https://www.linkedin.com/in/sarahbernard"
,LaunchPad Long Island,Westbury,NY,1,,,,,2,,Hospitality,2,Restaurents,1,Marketplace,1,Travel,1,Travel Accommodation,1,LaunchPadLI.com,https://www.crunchbase.com/organization/launchpad-ventures,linkedin.com/company/2932836,x,,,,,"https://www.linkedin.com/in/jane-soto-a685b36b, https://www.linkedin.com/in/dnyprowsky, https://www.linkedin.com/in/nyproductguy, https://www.linkedin.com/in/sarperkocabiyik, https://www.linkedin.com/in/jgalley, https://www.linkedin.com/in/ali-rehmatullah"
,Lavrock Ventures,McLean,VA,1,1,,2,$45.0,2,1,Health Care,1,Health Diagonstics,1,mHealth,1,Information Technology,1,Telecommunication,1,lavrockvc.com,https://www.crunchbase.com/organization/lavrock-ventures,https://www.linkedin.com/company/lavrock-ventures/,x,,,,,"https://www.linkedin.com/in/alex-s-poulin, https://www.linkedin.com/in/georgehoyem, https://www.linkedin.com/in/jdanielhanks, https://www.linkedin.com/in/conor-friedmann, https://www.linkedin.com/in/juliane-gallina-b736244, https://www.linkedin.com/in/will-d-phelps"
,LDJ Capital VC Division,New York,NY,1,,,,,1,,Blockchain,1,Trading Platform,1,Financial Service,1,,,,,LDJCapital.com,https://www.crunchbase.com/organization/ldj-capital,linkedin.com/company/436265,x,,,,,"https://www.linkedin.com/in/kamaljit-kaur-694ab3100, https://www.linkedin.com/in/ransin, https://www.linkedin.com/in/zhenhua-yao-0118201b2, https://www.linkedin.com/in/weili0305, https://www.linkedin.com/in/zihe-bian-346441280, https://www.linkedin.com/in/a-collins-60554424"
,LDR Ventures,Los Angeles,CA,1,,,,,10,,E-Commerce,3,Food & Beverage,2,Shopping,2,Women's,2,Beauty,2,ldrventures.com,https://www.crunchbase.com/organization/ldr-ventures,linkedin.com/company/6419171,x,,,,,"https://www.linkedin.com/in/jeremy-koven-538137232, https://www.linkedin.com/in/geoff-auslen-glennsrepair, https://www.linkedin.com/in/jacobshubin, https://www.linkedin.com/in/kadeem-may-7ab40a296, https://www.linkedin.com/in/lakeisha-millender-771b812a8"
,LDV Capital,New York,NY,1,1,,1,$10.0,14,3,Software,4,Artificial Intelligence,3,Wearables,2,Robotics,2,Machine Learning,2,ldv.co,https://www.crunchbase.com/organization/ldv-capital,https://www.linkedin.com/company/ldv-capital/,x,,,"https://www.linkedin.com/in/david-r-2193aa1, https://www.linkedin.com/in/alexandrewinter, https://www.linkedin.com/in/andyparsons, https://www.linkedin.com/in/dan-sodickson-44a9665, https://www.linkedin.com/in/donloeb, https://www.linkedin.com/in/irakemelmachershlizerman, https://www.linkedin.com/in/laurasmoliar, https://www.linkedin.com/in/lsanza, https://www.linkedin.com/in/matthew-rosen-a1899838, https://www.linkedin.com/in/michal-lipson-63aa7999, https://www.linkedin.com/in/mikekrieger, https://www.linkedin.com/in/nadlerjeff, https://www.linkedin.com/in/rebeccapaoletti, https://www.linkedin.com/in/renaudvisage, https://www.linkedin.com/in/samson-timoner-a42129, https://www.linkedin.com/in/solem, https://www.linkedin.com/in/stevechen2",,"https://www.linkedin.com/in/nisselson, https://www.linkedin.com/in/andrewcharlesbloom, https://www.linkedin.com/in/ashcleary-ldvcapital, https://www.linkedin.com/in/max-blacker, https://www.linkedin.com/in/jameschan"
,Lead Investor,New York,NY,1,,,,,,,,,,,,,,,,,leadinvestor.com,,linkedin.com/company/6382439,x,,,,,"https://www.linkedin.com/in/thaver-m-23a8061b, https://www.linkedin.com/in/aaron-bowman-96128211, https://www.linkedin.com/in/patricia-morrison-irop-7b461a7, https://www.linkedin.com/in/justin-orion-hutson, https://www.linkedin.com/in/allen-fogel, https://www.linkedin.com/in/andrewiyer"
,Leap Global Partners,Palo Alto,CA,1,1,,1,$15.0,3,,B2B,2,FinTech,2,Bitcoin,1,Consumer,1,Business Intelligence,1,leapglobalpartners.com,https://www.crunchbase.com/organization/leap-global-partners,https://www.linkedin.com/company/leap-innovation-advisory/,x,,,,,"https://www.linkedin.com/in/raguayodiaz, https://www.linkedin.com/in/romanleal, https://www.linkedin.com/in/cucovega, https://www.linkedin.com/in/eva-lepe-24368157, https://www.linkedin.com/in/manuel-ya, https://www.linkedin.com/in/ashleycarrick"
,Lemnos,San Francisco,CA,1,,,3,$71.9,33,3,Robotics,10,Software,6,Hardware,4,Food & Beverage,3,Drones,3,lemnoslabs.com,https://www.crunchbase.com/organization/lemnos-labs,linkedin.com/company/1731127,x,,,,,"https://www.linkedin.com/in/helenzelman, https://www.linkedin.com/in/lemnosai, https://www.linkedin.com/in/aymerik, https://www.linkedin.com/in/tasos-tsotras-21784a293, https://www.linkedin.com/in/mathew-muraya, https://www.linkedin.com/in/marios-raisakis-ab5128172"
,Lemnos Labs,San Francisco,CA,1,1,,3,$71.9,33,3,Robotics,10,Software,6,Hardware,4,Food & Beverage,3,Drones,3,lemnos.vc,https://www.crunchbase.com/organization/lemnos-labs,https://www.linkedin.com/company/lemnos-labs-inc/,x,,,,,"https://www.linkedin.com/in/davidjmerrill, https://www.linkedin.com/in/aymerik, https://www.linkedin.com/in/duppy, https://www.linkedin.com/in/jpartensky, https://www.linkedin.com/in/katedrane, https://www.linkedin.com/in/drmuzz"
,Level Terrain,Broomfield,CO,1,,,,,,,,,,,,,,,,,levelterrain.com,,linkedin.com/company/27242470,x,,,,,"https://www.linkedin.com/in/keenan-gates-7a79514, https://www.linkedin.com/in/warrendo, https://www.linkedin.com/in/duemilyhuang, https://www.linkedin.com/in/erik-jeffries-149977142, https://www.linkedin.com/in/mia-do-893504161, https://www.linkedin.com/in/anhton-tran"
,LH Ventures,San Marino,CA,1,,,,,,,,,,,,,,,,,LHventures.us,https://www.crunchbase.com/organization/lh-group#section-overview,linkedin.com/company/6626741,x,,,,,"https://www.linkedin.com/in/hengming-si-617345160, https://www.linkedin.com/in/yuangao75, https://www.linkedin.com/in/shichao-maria-zhuang-b3b2a661, https://www.linkedin.com/in/cezary-wojtkowski-122a4a64, https://www.linkedin.com/in/njurgens, https://www.linkedin.com/in/ronaldvelasco"
,Liberation Capital,Waxhaw,NC,1,1,1,,,4,,Environment Engineering,1,Hardware,1,Software,1,Information Technology,1,Information Service,1,liberationcapital.com,https://www.crunchbase.com/organization/liberation-capital,https://www.linkedin.com/company/liberation-capital-llc/,x,,,,,"https://www.linkedin.com/in/jeff-garwood-6721348, https://www.linkedin.com/in/eugene-pringle-72647311, https://www.linkedin.com/in/davi-munis, https://www.linkedin.com/in/varun-poddar-0611a11bb, https://www.linkedin.com/in/khyati-anand-ba20b4193, https://www.linkedin.com/in/kevincguthrie"
,Liberty City Ventures,New York,NY,1,1,,1,$15.0,18,4,Bitcoin,3,E-Commerce,3,FinTech,3,Internet,2,Digital Media,2,libertycityventures.com,https://www.crunchbase.com/organization/liberty-city-ventures,https://www.linkedin.com/company/liberty-city-ventures/,x,,,,,"https://www.linkedin.com/in/-mario, https://www.linkedin.com/in/rebecca-jovicevic-452b39166, https://www.linkedin.com/in/manoj-parvataneni-4a50a423, https://www.linkedin.com/in/emil-woods-4a548669, https://www.linkedin.com/in/alexander-masotti-8261388b, https://www.linkedin.com/in/john-cohen-6b253b187"
,Lightbank,Chicago,IL,1,,,1,$200.0,145,25,Mobile,21,E-Commerce,19,Software,13,Advertising,9,Internet,8,lightbank.com,https://www.crunchbase.com/organization/lightbank,linkedin.com/company/869339,x,,,,,"https://www.linkedin.com/in/maria-heyen, https://www.linkedin.com/in/a-aggarwal, https://www.linkedin.com/in/laurenmperkins, https://www.linkedin.com/in/wpescate, https://www.linkedin.com/in/ryanhrabak, https://www.linkedin.com/in/eric0ng"
,Lighthouse Labs RVA,Richmond,VA,1,,,,,4,,Freelance,1,E-Commerce,1,Biotechnology,1,Nutrition,1,Banking,1,lighthouselabsrva.com,https://www.crunchbase.com/organization/lighthouse-labsrva,linkedin.com/company/11012451,x,,,,,"https://www.linkedin.com/in/glennawcroy, https://www.linkedin.com/in/kmathur, https://www.linkedin.com/in/joannabethmiller, https://www.linkedin.com/in/somiah, https://www.linkedin.com/in/kevinbojarski, https://www.linkedin.com/in/sarah-pavilack-57388083"
,Liquid 2 Ventures,San Francisco,CA,1,1,1,2,$40.0,100,3,Software,15,Health care,11,Internet,10,SaaS,6,Computer,6,liquid2.vc,https://www.crunchbase.com/organization/liquid2-ventures,https://www.linkedin.com/company/liquid-2-ventures/,x,,,"https://www.linkedin.com/in/joe-montana-464701b, https://www.linkedin.com/in/michaelma8",,"https://www.linkedin.com/in/joe-montana-464701b, https://www.linkedin.com/in/michaelma8"
,Listen Ventures,Chicago,IL,1,1,,1,$15.9,28,4,E-Commerce,7,Fashion,3,Mobile,3,Leisure,3,Education,2,listen.co,https://www.crunchbase.com/organization/listen-llc,https://www.linkedin.com/company/listen-llc/,x,,,,,"https://www.linkedin.com/in/owen-h-choi, https://www.linkedin.com/in/ellen-wilcox, https://www.linkedin.com/in/rickpdesai, https://www.linkedin.com/in/joellecosmas, https://www.linkedin.com/in/johnnieryu, https://www.linkedin.com/in/jaimejyoon"
,LiveOak Venture Partners,Austin,TX,1,1,1,2,$109.0,34,3,Software,5,Enterprise Software,4,Internet,3,Health care,3,Telecommunication,3,liveoakvp.com,https://www.crunchbase.com/organization/liveoak-venture-partners,https://www.linkedin.com/company/liveoak-venture-partners/,x,,,,,"https://www.linkedin.com/in/creightonhicks, https://www.linkedin.com/in/min-a-heo-1b49a5268, https://www.linkedin.com/in/maya-mishra-a67675167, https://www.linkedin.com/in/ben-scott-1623b62a, https://www.linkedin.com/in/marie-gilbert-a10b32103, https://www.linkedin.com/in/wafae-owen-5b83a85"
,Locus Ventures,Redwood City,CA,1,,,,,11,,Mobile Apps,3,Software,3,Artificial Intelligence,3,E-Commerce,2,Apps,2,locus.vc,https://www.crunchbase.com/organization/locus-ventures,linkedin.com/company/33273725,x,,,,,"https://www.linkedin.com/in/eric-kwan-0a94072a, https://www.linkedin.com/in/erickkwan, https://www.linkedin.com/in/eric-kwan-46698039, https://www.linkedin.com/in/aravind-paduru-7854a1131, https://www.linkedin.com/in/erickwan0, https://www.linkedin.com/in/eric-kwan-2b328a13"
,Lodestar Ventures,San Francisco,CA,1,,,,,5,,Software,2,Mobile,2,Parenting,1,Fitness,1,Health care,1,lodestarvc.com,https://www.crunchbase.com/organization/lodestar-venture,linkedin.com/company/18039080,x,,,,,"https://www.linkedin.com/in/scott-l-carey-7b890b1b5, https://www.linkedin.com/in/kristen-dyck-66138619a, https://www.linkedin.com/in/susan-acosta-9716401a, https://www.linkedin.com/in/garydemore, https://www.linkedin.com/in/jenny-smith-213059148"
,LombardStreet.io,Menlo Park,CA,1,,,,,6,,Software,2,Blockchain,1,Therapeutics,1,Consumer Applications,1,Biotechnology,1,lombardstreet.io,https://www.crunchbase.com/organization/lombardstreet-io,linkedin.com/company/10700436,x,,,,,
,Lonestar Syndicate,Austin,TX,1,,,2,$11.5B,,,,,,,,,,,,,lonestarsyndicate.com,https://www.crunchbase.com/organization/lone-star-funds#section-funds-raised,linkedin.com/company/2758283,x,,,,,"https://www.linkedin.com/in/alisabzevari, https://www.linkedin.com/in/toddkogut, https://www.linkedin.com/in/danielkryzanowski"
,Longwood Fund,Boston,MA,1,1,,,,4,,Biotechnology,3,Life Science,2,Biopharma,1,Therapeutics,1,Medical Device,1,longwoodfund.com,https://www.crunchbase.com/organization/longwood-fund,https://www.linkedin.com/company/longwoodfund/,x,,,,,"https://www.linkedin.com/in/aleksrm, https://www.linkedin.com/in/liulucy, https://www.linkedin.com/in/vikas-goyal-83733b7, https://www.linkedin.com/in/roger-tung-a602a934, https://www.linkedin.com/in/ariellejackson, https://www.linkedin.com/in/lizziengo"
,Loup Ventures,Minneapolis,MN,1,1,,1,$25.0,6,,Augmented Reality,2,Information Technology,2,Photography,1,Digital Media,1,Task Management,1,loupventures.com,https://www.crunchbase.com/organization/loup-ventures,https://www.linkedin.com/company/loup-ventures/,x,,,,,"https://www.linkedin.com/in/griffinnjoseph, https://www.linkedin.com/in/jack-woehler-768464181, https://www.linkedin.com/in/leeaschafer, https://www.linkedin.com/in/edward-a-terris, https://www.linkedin.com/in/virtualrealityoasis, https://www.linkedin.com/in/iris-coates-mccall"
,Lowercase Capital,Los Angeles,CA,1,1,1,2,$33.5,174,37,Mobile,22,Internet,20,Software,20,Social Media,14,E-Commerce,13,lowercasecapital.com,https://www.crunchbase.com/organization/lowercase-capital,https://www.linkedin.com/company/lowercase-capital/,x,,,"https://www.linkedin.com/in/chrissacca, https://www.linkedin.com/in/crystalenglishsacca",,"https://www.linkedin.com/in/chrissacca, https://www.linkedin.com/in/crystalenglishsacca"
