Firm Name,Investment Sector,Location (City),Investment Stage,URL,linkedin-private-codex,linkedin-private-claude,linkedin-private-cursor
Harrison Metal,Technology,"Palo Alto, CA",Early Stage Venture,https://www.harrisonmetal.com/,,,"https://www.linkedin.com/in/rockthecasbah, https://www.linkedin.com/in/jillian-d-91762a120, https://www.linkedin.com/in/patrickdarmody, https://www.linkedin.com/in/jordanbatch, https://www.linkedin.com/in/harrison-barnes-a808ab142, https://www.linkedin.com/in/osmin-garcia-58aa85164"
Hardware Club,Hardware,"San Francisco, CA","Early Stage Venture, Seed",www.hardwareclub.co,,,"https://www.linkedin.com/in/alexis-houssou-4b157a38, https://www.linkedin.com/in/jmyang1976, https://www.linkedin.com/in/aymerik, https://www.linkedin.com/in/alexandreflamant, https://www.linkedin.com/in/isabel-zhang, https://www.linkedin.com/in/cyril-abiteboul-2429161a6"
Haystack Fund,"Consumer Services, Software, Internet","Menlo Park, CA","Early Stage Venture, Seed",http://haystack.vc/,,,https://www.linkedin.com/in/semilshah
Healthfundr,"Healthcare, Technology, Internet, Security","Seattle, WA",Early Stage Venture,www.healthfundr.com,,,https://www.linkedin.com/in/htwilkinsiv
HealthInvest Equity Partners,Healthcare,"Stamford, CT","Seed, Early Stage, Expansion Stage, Late Stage",http://www.healthinvestequity.com,,,https://www.linkedin.com/in/alexandra-perimenis-6a25091a2
HealthX Ventures,"Healthcare, Software, Healthcare IT","Madison, WI","Early Stage Venture, Seed",http://www.healthxventures.com,"https://www.linkedin.com/in/alexis-johnson-5a466247, https://www.linkedin.com/in/brian-d-lindstrom, https://www.linkedin.com/in/darceynett, https://www.linkedin.com/in/kebong, https://www.linkedin.com/in/laura-hilty001, https://www.linkedin.com/in/mark-bakken-55a0941, https://www.linkedin.com/in/samantha-m-71959a10","https://www.linkedin.com/in/alexis-johnson-5a466247, https://www.linkedin.com/in/brian-d-lindstrom, https://www.linkedin.com/in/darceynett, https://www.linkedin.com/in/kebong, https://www.linkedin.com/in/laura-hilty001, https://www.linkedin.com/in/mark-bakken-55a0941, https://www.linkedin.com/in/samantha-m-71959a10","https://www.linkedin.com/in/alexis-johnson-5a466247, https://www.linkedin.com/in/brian-d-lindstrom, https://www.linkedin.com/in/darceynett, https://www.linkedin.com/in/kebong, https://www.linkedin.com/in/laura-hilty001, https://www.linkedin.com/in/mark-bakken-55a0941, https://www.linkedin.com/in/samantha-m-71959a10"
Healthy Ventures,"Technology, Healthcare, Software, Healthcare IT","San Francisco, CA","Early Stage Venture, Seed",www.healthy.vc,"https://www.linkedin.com/in/chrissacca, https://www.linkedin.com/in/eskendall, https://www.linkedin.com/in/hari-sundram-b8210b4, https://www.linkedin.com/in/hillferguson, https://www.linkedin.com/in/hughlevaux, https://www.linkedin.com/in/kevleininger, https://www.linkedin.com/in/ldonohue, https://www.linkedin.com/in/madelinebradley, https://www.linkedin.com/in/maryjo-zaborowski, https://www.linkedin.com/in/rosalindchu, https://www.linkedin.com/in/stephen-bewley-70b684",,"https://www.linkedin.com/in/chrissacca, https://www.linkedin.com/in/eskendall, https://www.linkedin.com/in/hari-sundram-b8210b4, https://www.linkedin.com/in/hillferguson, https://www.linkedin.com/in/hughlevaux, https://www.linkedin.com/in/kevleininger, https://www.linkedin.com/in/ldonohue, https://www.linkedin.com/in/madelinebradley, https://www.linkedin.com/in/maryjo-zaborowski, https://www.linkedin.com/in/rosalindchu, https://www.linkedin.com/in/stephen-bewley-70b684"
Heartland Ventures,"Consumer Discretionary, Industrials, Information Technology","South Bend, IN","Early Stage, Early Stage: Start-up",www.heartlandvc.com,"https://www.linkedin.com/in/bradenlambros, https://www.linkedin.com/in/conor-mcguinness-6787083a, https://www.linkedin.com/in/daniel-corbett-00494245, https://www.linkedin.com/in/hannah-milgrom, https://www.linkedin.com/in/kobydoughty, https://www.linkedin.com/in/lucaspasch, https://www.linkedin.com/in/markaccomando, https://www.linkedin.com/in/mary-frailey-kenney, https://www.linkedin.com/in/maxbrickman, https://www.linkedin.com/in/melissa-gundling-delia, https://www.linkedin.com/in/milan-joshi-747ab8ab, https://www.linkedin.com/in/tom-williams-9aa28928",,"https://www.linkedin.com/in/bradenlambros, https://www.linkedin.com/in/conor-mcguinness-6787083a, https://www.linkedin.com/in/daniel-corbett-00494245, https://www.linkedin.com/in/hannah-milgrom, https://www.linkedin.com/in/kobydoughty, https://www.linkedin.com/in/lucaspasch, https://www.linkedin.com/in/markaccomando, https://www.linkedin.com/in/mary-frailey-kenney, https://www.linkedin.com/in/maxbrickman, https://www.linkedin.com/in/melissa-gundling-delia, https://www.linkedin.com/in/milan-joshi-747ab8ab, https://www.linkedin.com/in/tom-williams-9aa28928"
Heavybit,"Cloud Infrastructure, Developer Tools, APIs","San Francisco, CA","Early Stage Venture, Seed",www.heavybit.com,"https://www.linkedin.com/in/aechstenkamper, https://www.linkedin.com/in/amir-zohrenejad, https://www.linkedin.com/in/andrewparkonline, https://www.linkedin.com/in/danaoshiro, https://www.linkedin.com/in/isabelle-smith-698361b7, https://www.linkedin.com/in/jesserobbins, https://www.linkedin.com/in/josephruscio, https://www.linkedin.com/in/mina-benothman, https://www.linkedin.com/in/tedcarstensen, https://www.linkedin.com/in/tomdrummond",,"https://www.linkedin.com/in/aechstenkamper, https://www.linkedin.com/in/amir-zohrenejad, https://www.linkedin.com/in/andrewparkonline, https://www.linkedin.com/in/danaoshiro, https://www.linkedin.com/in/isabelle-smith-698361b7, https://www.linkedin.com/in/jesserobbins, https://www.linkedin.com/in/josephruscio, https://www.linkedin.com/in/mina-benothman, https://www.linkedin.com/in/tedcarstensen, https://www.linkedin.com/in/tomdrummond"
Hemi Ventures,"Autonomous Vehicles, Artificial Intelligence Applications, Biotech.","Palo Alto, CA",Early Stage Venture,https://www.hemi.vc/,,,https://www.linkedin.com/in/amygu
Heroic Ventures,Diversified,"Menlo Park, CA","Early Stage Venture, Seed",www.heroicvc.com/,,,https://www.linkedin.com/in/mattrobinson
High Alpha,"IT, Internet, Business Services, Wireless","Indianapolis, IN","Early Stage Venture, Seed",http://www.highalpha.com,,,"https://www.linkedin.com/in/kandersen1, https://www.linkedin.com/in/ashley-blevins-mhrm-34b37a45, https://www.linkedin.com/in/amanda-carroll-93031745, https://www.linkedin.com/in/scott-dorsey-096b393, https://www.linkedin.com/in/mikesfitzgerald, https://www.linkedin.com/in/eric-goodman-93aab51, https://www.linkedin.com/in/hubartt, https://www.linkedin.com/in/hiclairekelley, https://www.linkedin.com/in/bkoriath, https://www.linkedin.com/in/molliekuramoto, https://www.linkedin.com/in/brookealamb, https://www.linkedin.com/in/katherinelachowiez, https://www.linkedin.com/in/tara-d-lemieux, https://www.linkedin.com/in/melissa-nauert, https://www.linkedin.com/in/erictobias, https://www.linkedin.com/in/katelyn-vierk-195090160"
Highlander Fund,"AgTech, Water, Enterprise SaaS","Riverside, CA",Early Stage Venture,,,,https://www.linkedin.com/in/david-schwab-b9532620
Hinge Capital,"Technology, Telecoms, High-Tech, Internet, Digital Media, Telecom Media","San Diego, CA","Early Stage Venture, Late Stage Venture, Seed",http://www.venture51.com,,,https://www.linkedin.com/in/brandonzeuner
Homebrew,"Technology, IT, Internet","San Francisco, CA","Early Stage Venture, Seed",www.homebrew.co,"https://www.linkedin.com/in/ashleymayer, https://www.linkedin.com/in/bethscheer, https://www.linkedin.com/in/cherie-yu-5ab55, https://www.linkedin.com/in/coryondrejka, https://www.linkedin.com/in/hunterwalk, https://www.linkedin.com/in/jencgrant, https://www.linkedin.com/in/michaelcsmith1, https://www.linkedin.com/in/peternavin, https://www.linkedin.com/in/pjanakiraman, https://www.linkedin.com/in/ragraves, https://www.linkedin.com/in/roysehgal, https://www.linkedin.com/in/sashalubomirsky, https://www.linkedin.com/in/satyapatel, https://www.linkedin.com/in/stacyphilpot",,"https://www.linkedin.com/in/ashleymayer, https://www.linkedin.com/in/bethscheer, https://www.linkedin.com/in/cherie-yu-5ab55, https://www.linkedin.com/in/coryondrejka, https://www.linkedin.com/in/hunterwalk, https://www.linkedin.com/in/jencgrant, https://www.linkedin.com/in/michaelcsmith1, https://www.linkedin.com/in/peternavin, https://www.linkedin.com/in/pjanakiraman, https://www.linkedin.com/in/ragraves, https://www.linkedin.com/in/roysehgal, https://www.linkedin.com/in/sashalubomirsky, https://www.linkedin.com/in/satyapatel, https://www.linkedin.com/in/stacyphilpot"
House Fund,"Consumer Discretionary, Diversified, Healthcare, Information Technology, Telecoms, Media, and Communications","Berkeley, CA","Early Stage: Seed, Early Stage: Start-up",www.thehouse.fund,,,"https://www.linkedin.com/in/jfiance, https://www.linkedin.com/in/davidbloom5, https://www.linkedin.com/in/kcxcaravelli, https://www.linkedin.com/in/acchou, https://www.linkedin.com/in/pjanakiraman, https://www.linkedin.com/in/hadleywilkins, https://www.linkedin.com/in/tazpatel"
Human Ventures,Technology,"New York, NY",Seed,humanventures.co,,,"https://www.linkedin.com/in/heatherhartnett, https://www.linkedin.com/in/joemarchese, https://www.linkedin.com/in/michael-letta-ab3541383, https://www.linkedin.com/in/elise-king-49757212"
Huron River Ventures,"Engineering, Software, Energy, Power, Clean Technology, Renewable Energy, Materials","Ann Arbor, MI","Early Stage Venture, Seed",www.huronriverventures.com,,,"https://www.linkedin.com/in/tim-streit, https://www.linkedin.com/in/wyatt-yess-48949617b, https://www.linkedin.com/in/charlie-geis-12b8a7168, https://www.linkedin.com/in/dan-penrod-b9971068, https://www.linkedin.com/in/craigmilius, https://www.linkedin.com/in/anujabrol, https://www.linkedin.com/in/shufro"
Hustle Fund,Technology,"San Carlos, CA",Seed,hustlefund.vc,"https://www.linkedin.com/in/elizabethyin, https://www.linkedin.com/in/ericbahn, https://www.linkedin.com/in/haleymbryant, https://www.linkedin.com/in/shiyankoh",,"https://www.linkedin.com/in/elizabethyin, https://www.linkedin.com/in/ericbahn, https://www.linkedin.com/in/haleymbryant, https://www.linkedin.com/in/shiyankoh"
Hyde Park Venture Partners,"Technology, Business Services, Healthcare IT","Chicago, IL","Debt, Early Stage Venture, Late Stage Venture, Seed",www.hydeparkvp.com,"https://www.linkedin.com/in/allison-lechnir, https://www.linkedin.com/in/caroline-mcmanus, https://www.linkedin.com/in/guyhturner",,"https://www.linkedin.com/in/allison-lechnir, https://www.linkedin.com/in/caroline-mcmanus, https://www.linkedin.com/in/guyhturner"
I2A Fund,Technology,"Chicago, IL","Debt, Early Stage Venture, Late Stage Venture, Seed",www.i2afund.com,,,https://www.linkedin.com/in/ellen-carnahan-0aa5b011
ID Ventures Ameriva,"Technology, Diversified","Santa Clara, CA","Early Stage Venture, Late Stage Venture, Private Equity",http://idsoftcapital.com/,,,https://www.linkedin.com/in/ronald-chwang-7762359
iFly.vc,"Technology, Commerce","Palo Alto, CA","Early Stage Venture, Seed",ifly.vc/,,,"https://www.linkedin.com/in/hanshen, https://www.linkedin.com/in/salomonmartin, https://www.linkedin.com/in/alfredtchu, https://www.linkedin.com/in/brianlgoodall, https://www.linkedin.com/in/ericallenjohnson, https://www.linkedin.com/in/jessicaphan, https://www.linkedin.com/in/lonsdalejoe, https://www.linkedin.com/in/kennesmith, https://www.linkedin.com/in/radubogdanrusu"
Ignite Farm,"Consumer Products, Consumer Services, Food, Digital Media, Gaming","Walnut Creek, CA","Early Stage Venture, Seed",www.ignitefarm.com,https://www.linkedin.com/in/joe-rainero-38720231,,https://www.linkedin.com/in/joe-rainero-38720231
Illinois Ventures,"Technology, Research","Chicago, IL","Early Stage Venture, Late Stage Venture, Seed",www.illinoisventures.com,,,"https://www.linkedin.com/in/nancy-sullivan-08055811, https://www.linkedin.com/in/thomas-parkinson-06867b1, https://www.linkedin.com/in/jacobkinsey, https://www.linkedin.com/in/paulmagelli, https://www.linkedin.com/in/mark-o-connor, https://www.linkedin.com/in/rishit-parikh, https://www.linkedin.com/in/christopher-valera-a632a751, https://www.linkedin.com/in/professorjeffreybrown, https://www.linkedin.com/in/paul-ellinger-4263357, https://www.linkedin.com/in/joanna-groden-4b61453b, https://www.linkedin.com/in/dennis-hesch-9305368, https://www.linkedin.com/in/nathan-hoffmann-46997b17, https://www.linkedin.com/in/todd-lillibridge, https://www.linkedin.com/in/susan-martinis-2452a31b6, https://www.linkedin.com/in/guy-padbury-847a233, https://www.linkedin.com/in/sarah-phalen-70818a7, https://www.linkedin.com/in/suseelan-pookote-87a8916, https://www.linkedin.com/in/jay-walsh-b577363"
Illuminate Ventures,"Analytics, Big Data, Cloud Computing, Enterprise Software, Mobile, SaaS","Oakland, CA","Early Stage Venture, Seed",www.illuminate.com,"https://www.linkedin.com/in/cindypadnos, https://www.linkedin.com/in/jenniferjsavage",,"https://www.linkedin.com/in/cindypadnos, https://www.linkedin.com/in/jenniferjsavage"
Imaginary Ventures,"Technology, Consumer Products, Retail, Internet","New York, NY",Early Stage Venture,www.imaginary.co,,,https://www.linkedin.com/in/nickbrownimaginary
Impact America Fund,"Technology, Healthcare, Financial Services, Software, Education / Training","Oakland, CA","Early Stage Venture, Seed",www.impactamericafund.com,,,"https://www.linkedin.com/in/keshacash, https://www.linkedin.com/in/epifanioordaz, https://www.linkedin.com/in/davi-j-clark, https://www.linkedin.com/in/kristenameliabrown, https://www.linkedin.com/in/kaiton, https://www.linkedin.com/in/yscribner, https://www.linkedin.com/in/funmigarrick, https://www.linkedin.com/in/impact-america-902a5b157, https://www.linkedin.com/in/emma-schroeter, https://www.linkedin.com/in/amandasyao, https://www.linkedin.com/in/melissaplotsky, https://www.linkedin.com/in/mick-cunningham-a6643410b"
Impact Venture Capital,"Business Services, Consumer Discretionary, Food and Agriculture, Healthcare, Industrials, Information Technology, Telecoms, Media, and Communication","Sacramento, CA","Early Stage, Early Stage: Seed, Early Stage: Start-up",www.impactvc.com,,,"https://www.linkedin.com/in/eric-ball-ba688b3, https://www.linkedin.com/in/jackc2, https://www.linkedin.com/in/jeanmou, https://www.linkedin.com/in/jenbakerkhan, https://www.linkedin.com/in/yatish-mishra-5508707, https://www.linkedin.com/in/jangeldmacher, https://www.linkedin.com/in/jonathanwcarmel, https://www.linkedin.com/in/bens-ca, https://www.linkedin.com/in/daniel-sheehan-66784a1, https://www.linkedin.com/in/natasha-de-masi-sphr-9399511, https://www.linkedin.com/in/christianahendricks, https://www.linkedin.com/in/danwadhwani, https://www.linkedin.com/in/gary-hooper-5b4772, https://www.linkedin.com/in/john-finegan-08b718, https://www.linkedin.com/in/gary-simon-849653, https://www.linkedin.com/in/shigeru-nosaka-953b2144, https://www.linkedin.com/in/katalinbartfaiwalcott, https://www.linkedin.com/in/manish-gupta-269242, https://www.linkedin.com/in/shawn-garvey, https://www.linkedin.com/in/harrison-ward-974393162, https://www.linkedin.com/in/jackson-crawford-bb90341b4, https://www.linkedin.com/in/benlanden, https://www.linkedin.com/in/john-conley-562486123, https://www.linkedin.com/in/kennethbossung"
Inception Sciences,"Pharmaceuticals, Healthcare","San Diego, CA",Venture (General),inceptionsci.com,,,-
InCube Ventures,Healthcare,"San Jose, CA","Early Stage, Early Stage: Seed, Early Stage: Start-up, Expansion / Late Stage, Venture (General)",www.incubevc.com,,,https://www.linkedin.com/in/andrewfarq
IncWell,"Technology, Healthcare, Consumer Products, Industrial, Manufacturing, Software, Medical Devices, Clean Technology","Birmingham, MI","Early Stage Venture, Seed",www.theincwell.net,,,"https://www.linkedin.com/in/suraj-bista-9917131a1, https://www.linkedin.com/in/davidand21, https://www.linkedin.com/in/reda-jaber, https://www.linkedin.com/in/plasticsavvy, https://www.linkedin.com/in/sarahxguo, https://www.linkedin.com/in/christsakalakis, https://www.linkedin.com/in/jasonmlemkin, https://www.linkedin.com/in/don-graunstadt-a0083583, https://www.linkedin.com/in/priyanka-bajracharya, https://www.linkedin.com/in/ruby-maharjan-274547186, https://www.linkedin.com/in/aakriti-kc-279128103"
Indicator Ventures,Media,"New York, NY","Early Stage Venture, Seed",http://www.indicatorventures.com,"https://www.linkedin.com/in/struhl, https://www.linkedin.com/in/baiyinzhou, https://www.linkedin.com/in/geoffreybernstein",,"https://www.linkedin.com/in/struhl, https://www.linkedin.com/in/baiyinzhou, https://www.linkedin.com/in/geoffreybernstein"
Indie.vc,"Finance, Diversified","San Francisco, CA",Seed,www.indie.vc/,,,"https://www.linkedin.com/in/nima3rad, https://www.linkedin.com/in/dagankay, https://www.linkedin.com/in/jayclouse, https://www.linkedin.com/in/martial-artist-woma-10284411"
IndusAge Partners,"Technology, Telecoms, Healthcare, Financial Services, IT, Internet, Education / Training, Clean Technology","Menlo Park, CA","Early Stage Venture, Seed",http://www.indusage.com,,,"https://www.linkedin.com/in/onesriram, https://www.linkedin.com/in/kjkarthik, https://www.linkedin.com/in/shantanu-murti-803336132, https://www.linkedin.com/in/ganesh-krishnan-10045a15, https://www.linkedin.com/in/nikchopra, https://www.linkedin.com/in/anand-v-3826b9264"
Infinite Road Capital,"Business Services, Consumer Discretionary, Diversified, Information Technology","Boston, MA","Early Stage, Early Stage: Seed",www.infiniteroadcapital.com,,,"https://www.linkedin.com/in/preetisampat, https://www.linkedin.com/in/jaida-yang"
Inner Loop Capital,Cybersecurity,"Baltimore, MD",Seed,www.innerloopcap.com,,,"https://www.linkedin.com/in/justinlabel, https://www.linkedin.com/in/yapgreg, https://www.linkedin.com/in/jorge-conde-4099225, https://www.linkedin.com/in/joe-samuels-075546aa, https://www.linkedin.com/in/blandinemerino, https://www.linkedin.com/in/atrombetta"
InSite Partners,"Telecom, Nanotechnology, MEMS, Battery Technology, Optical, Semiconductor, Biotech, Data Analytics, Software, Solar, Wind, Life Sciences","Cupertino, CA",Early Stage Venture,www.insitepartners.com/,,,https://www.linkedin.com/in/marla-sanchez-5635799
Inspiration Ventures,"Information Technology, Telecoms, Media, and Communications","Burlingame, CA",Early Stage: Seed,www.inspirationventures.com,"https://www.linkedin.com/in/antoniobeja, https://www.linkedin.com/in/gady-nemirovsky-804bb33, https://www.linkedin.com/in/jay-bartels, https://www.linkedin.com/in/leylblack, https://www.linkedin.com/in/robert-fanini-64549167, https://www.linkedin.com/in/roger-lang-736b","https://www.linkedin.com/in/antoniobeja, https://www.linkedin.com/in/gady-nemirovsky-804bb33, https://www.linkedin.com/in/jay-bartels, https://www.linkedin.com/in/leylblack, https://www.linkedin.com/in/robert-fanini-64549167, https://www.linkedin.com/in/roger-lang-736b","https://www.linkedin.com/in/antoniobeja, https://www.linkedin.com/in/gady-nemirovsky-804bb33, https://www.linkedin.com/in/jay-bartels, https://www.linkedin.com/in/leylblack, https://www.linkedin.com/in/robert-fanini-64549167, https://www.linkedin.com/in/roger-lang-736b"
Interlock Partners,"Technology, Digital Media, Aerial Data/Analytics, Education, FinTech","Dallas, TX",Early Stage Venture,interlock.vc,,,"https://www.linkedin.com/in/harry-t-hawks, https://www.linkedin.com/in/courtneyline, https://www.linkedin.com/in/jeff-williams-6899553"
Inventures,"Healthcare, Financial Services, Environmental Services, Diversified, Education / Training, Business Services","San Ramon, CA","Early Stage Venture, Seed",https://www.inventures.com/,,,"https://www.linkedin.com/in/inventures-team-30815b27, https://www.linkedin.com/in/laurent-jouret-4b648722, https://www.linkedin.com/in/melissachalfant, https://www.linkedin.com/in/ben-marquart, https://www.linkedin.com/in/juan-pablo-ossa-rivadeneira, https://www.linkedin.com/in/akramelbacha"
Inventus Capital Partners,"Technology, Consumer Services, Diversified","San Mateo, CA","Early Stage Venture, Late Stage Venture, Seed",www.inventuscap.com,,,"https://www.linkedin.com/in/kanwalrekhi, https://www.linkedin.com/in/johndougery, https://www.linkedin.com/in/susysgarbo, https://www.linkedin.com/in/ranjitha-srinath-bb453a265, https://www.linkedin.com/in/karan-gupta9765, https://www.linkedin.com/in/vanikola"
iResearch Capital,"Healthcare, Consumer Products, Consumer Services, Internet, Entertainment, Business Services","Mountain View, CA","Early Stage, Early Stage: Seed, Early Stage: Start-up, Expansion / Late Stage, Venture (General)",www.capital.iresearch.com.cn,,,"https://www.linkedin.com/in/fred-chia-aab4b28, https://www.linkedin.com/in/alex-sun-65913436, https://www.linkedin.com/in/yijia-michelle-hua-14b99, https://www.linkedin.com/in/caroline-liu-3955ab3b, https://www.linkedin.com/in/helio-liu-512b258b, https://www.linkedin.com/in/yaokunwen"
iSeed Ventures,"Consumer Discretionary, Healthcare, Information Technology, Telecoms, Media, and Communications","San Francisco, CA","Early Stage, Early Stage: Seed, Early Stage: Start-up",www.iseedvc.com,"https://www.linkedin.com/in/adam-lin-768517/, https://www.linkedin.com/in/bryan-cheng-121b262a2/",,"https://www.linkedin.com/in/adam-lin-768517, https://www.linkedin.com/in/bryan-cheng-121b262a2"
"ITR VENTURES, LLC","Digital Consumer Services, Digital Enterprise","San Francisco, CA","Early Stage Venture, Seed",www.itrventures.com,,,"https://www.linkedin.com/in/itstimryan, https://www.linkedin.com/in/courtenayyates, https://www.linkedin.com/in/sheetal-ramanath-161690196"
JANVEST Capital Partners,Information Technology,"New York, NY","Early Stage Venture, Seed",www.janvest.com,,,"https://www.linkedin.com/in/jonahherman, https://www.linkedin.com/in/samantha-johnson-853835b7, https://www.linkedin.com/in/janvest-s-a-403269227, https://www.linkedin.com/in/janvest-sa-3b9631221, https://www.linkedin.com/in/anna-s-486b2b1b2, https://www.linkedin.com/in/staci-eichelbaum"
K5 Ventures,Technology,"Newport Beach, CA","Crowdfunding, Early Stage Venture, Private Equity, Seed",k5ventures.com/,,,https://www.linkedin.com/in/max-tschersich-9090a860
K9 Ventures,Technology,"Palo Alto, CA","Early Stage Venture, Seed",www.k9ventures.com,,,https://www.linkedin.com/in/sneaker
Kairos VC,"Artificial Intelligence, Computer Vision, Developer APIs, Enterprise Software, Facial Recognition, Machine Learning, Mobile, SaaS, Software","Miami, FL",Early Stage Venture,www.kairos.com,,,-
Kairos Ventures,Diversified,"Beverly Hills, CA",Early Stage,http://www.kairosventures.com,,,"https://www.linkedin.com/in/patrick-sao, https://www.linkedin.com/in/leonelolivieri"
Karlani Capital,"Technology, Telecoms, Retail, Financial Services, Internet, Telecom Media, Advertising","Philadelphia, PA","Buyout, Early Stage, Early Stage: Start-up",http://www.karlani.com,,,https://www.linkedin.com/in/vinodkeni
KdT Ventures,"Clean Technology, Food and Agriculture, Healthcare, Industrials, Information Technology, Materials","Black Mountain, NC","Early Stage, Early Stage: Seed",www.kdtvc.com,"https://www.linkedin.com/in/bwillette, https://www.linkedin.com/in/cainmcclary, https://www.linkedin.com/in/kaitlynjdavis, https://www.linkedin.com/in/ketan-yerneni, https://www.linkedin.com/in/mackjhealy, https://www.linkedin.com/in/phil-grayeski-6b423799, https://www.linkedin.com/in/yuddin",,"https://www.linkedin.com/in/bwillette, https://www.linkedin.com/in/cainmcclary, https://www.linkedin.com/in/kaitlynjdavis, https://www.linkedin.com/in/ketan-yerneni, https://www.linkedin.com/in/mackjhealy, https://www.linkedin.com/in/phil-grayeski-6b423799, https://www.linkedin.com/in/yuddin"
KEC Ventures,Diversified,"New York, NY","Balanced, Early Stage, Early Stage: Seed, Early Stage: Start-up, Expansion / Late Stage, pre-IPO, Venture (General)",http://www.kecventures.com,,,"https://www.linkedin.com/in/mike-difelice-8355a2123, https://www.linkedin.com/in/ramraj-thakur-854442164, https://www.linkedin.com/in/ismail-abdul-gani-a15a2614a, https://www.linkedin.com/in/philip-limeri-cfa-cpa-26442829, https://www.linkedin.com/in/dede-sopandi-ab2408175, https://www.linkedin.com/in/jeffrey-sansone-926327101"
Keiretsu Capital,Technology,"Seattle, WA","Co-Investment, Early Stage, Early Stage: Seed, Early Stage: Start-up, Expansion / Late Stage, Real Estate, Real Estate Fund of Funds, Spin-Offs, Venture (General)",www.keiretsucapital.com,,,"https://www.linkedin.com/in/matthewlemerle, https://www.linkedin.com/in/readytogo-jamesfloyd, https://www.linkedin.com/in/hifcorporation, https://www.linkedin.com/in/alexander-s-preker-7b3b82a, https://www.linkedin.com/in/alejandro-di-tolla, https://www.linkedin.com/in/vinitakhomne"
Kepha Partners,"Advertising, Consumer, FinTech, SaaS, Security","Waltham, MA","Early Stage Venture, Late Stage Venture, Seed",www.kephapartners.com,,,"https://www.linkedin.com/in/edward-hamilton-5a705ba4, https://www.linkedin.com/in/lyn-elfman-80ab7027, https://www.linkedin.com/in/lyn-elfman-310b4829, https://www.linkedin.com/in/edward-hamilton-4b781120, https://www.linkedin.com/in/tom-barron-72a444a7, https://www.linkedin.com/in/edward-hamilton-182148199"
Kickstart Seed Fund,"Technology, Life Science","Salt Lake City, UT","Early Stage Venture, Late Stage Venture, Seed",kickstartfund.com,,,"https://www.linkedin.com/in/gavinchristensen, https://www.linkedin.com/in/kat-kennedy-54b79511, https://www.linkedin.com/in/daltonjwright, https://www.linkedin.com/in/alex-soffe-98319160, https://www.linkedin.com/in/tannerhp, https://www.linkedin.com/in/kristin-gonzales-cpa-132985b7, https://www.linkedin.com/in/matthewsanderssmith, https://www.linkedin.com/in/annasophiarowe, https://www.linkedin.com/in/kimball-j-palmer, https://www.linkedin.com/in/karenzelnick, https://www.linkedin.com/in/rebecca-trusty-37a1bb149"
KiloWatt,Technology,"San Francisco, CA",Venture (General),www.kilowattcapital.com,,,https://www.linkedin.com/in/kerry-canestra-a208931b0
Kiwi Venture Partners,Technology,"New York, NY","Early Stage, Early Stage: Seed, Early Stage: Start-up, Venture (General)",http://www.kiwiventurepartners.com,,,https://www.linkedin.com/in/greta-bon-69b10161
Kokopelli Capital,Diversified,"Boulder, CO","Early Stage, Early Stage: Seed, Early Stage: Start-up",http://www.kokopelli.vc,,,"https://www.linkedin.com/in/cory-finney-761a3055, https://www.linkedin.com/in/fletchrichman, https://www.linkedin.com/in/jamiefinney, https://www.linkedin.com/in/bradford-fayfield-0427a65a, https://www.linkedin.com/in/ricklucash, https://www.linkedin.com/in/robert-israel-0b0a277, https://www.linkedin.com/in/terryhefty"
Laconia Capital Group,B2B software (sector-agnostic within b2b),"New York, NY",Early Stage,http://Www.laconiacapitalgroup.com,,,"https://www.linkedin.com/in/jeffreyleesilverman, https://www.linkedin.com/in/miritlugassi, https://www.linkedin.com/in/scott-berrie-46978"
L2 Capital,"Business Services, Clean Technology, Consumer Discretionary, Industrials, Information Technology","Devon, PA","Buyout, Growth",www.l2capital.net,,,"https://www.linkedin.com/in/bob-levine-99279412, https://www.linkedin.com/in/lorin-cassidy-wolfe-318208, https://www.linkedin.com/in/joshuaspair"
Lakehouse,Technology,"New York, NY",Early Stage,www.lakehouse.vc,,,"https://www.linkedin.com/in/derekflanzraich, https://www.linkedin.com/in/andrew-katz, https://www.linkedin.com/in/will-berkowitz, https://www.linkedin.com/in/phoebe-gleave-5797b630, https://www.linkedin.com/in/if-h"
Lamp Post Group,"Transportation, Logistics","Chattanooga, TN","Early Stage, Early Stage: Start-up",www.lamppostgroup.com,,,"https://www.linkedin.com/in/adam-tootle,, https://www.linkedin.com/in/keisha-moore-545407126,, https://www.linkedin.com/in/jackstuder"
Las Olas Venture Capital,"Technology, Financial Services, High-Tech, Software, Hardware, Education / Training, Healthcare IT, IT Security, IT Infrastructure","Fort Lauderdale, FL","Early Stage, Early Stage: Seed, Early Stage: Start-up",http://www.lasolasvc.com,,,"https://www.linkedin.com/in/mvolchek, https://www.linkedin.com/in/nathanielvasel, https://www.linkedin.com/in/deanhatton, https://www.linkedin.com/in/slefkowitz1, https://www.linkedin.com/in/elviaperez"
Launchpad Digital Health,"Health Care, Information Technology, Mobile","San Francisco, CA",Seed,www.launchpdh.com/,,,"https://www.linkedin.com/in/alanlefkof,, https://www.linkedin.com/in/susan-launchpdh-761a97a5,, https://www.linkedin.com/in/kerttu-sobak-38789015b,, https://www.linkedin.com/in/root-palmiste,, https://www.linkedin.com/in/shaun-horrigan-b133182,, https://www.linkedin.com/in/daniel-cullinane-95b68631"
